2026-06-02 11:14:31,new_output_model,ok,tra,0.85006,0.85,0.0,564,354.46,223.177,78.97
2026-06-02 11:14:34,new_output_model,ok,tra,0.8777,0.85,8.0,624,127.932,80.378,43.858
2026-06-02 11:14:39,new_output_model,deny,,0.76023,0.85,8.0,8190,105.342,62.931,39.529
2026-06-02 11:14:42,new_output_model,deny,,0.74666,0.85,8.0,8190,112.476,70.554,39.348
2026-06-02 11:14:45,new_output_model,deny,,0.80514,0.85,8.0,8190,111.542,66.393,41.79
2026-06-02 11:14:48,new_output_model,deny,,0.84254,0.85,7.97,8190,122.484,77.575,41.303
2026-06-02 11:14:51,new_output_model,ok,tra,0.88295,0.85,8.0,547,109.91,66.544,40.227
2026-06-02 11:14:54,new_output_model,deny,,0.79122,0.85,7.99,547,119.755,76.689,40.256
2026-06-02 11:14:57,new_output_model,deny,,0.7187,0.85,8.0,668,112.058,68.821,39.952
2026-06-02 11:15:00,new_output_model,deny,,0.76739,0.85,8.0,830,130.0,82.863,44.214
2026-06-02 11:15:03,new_output_model,deny,,0.79625,0.85,8.01,8190,117.038,71.391,42.614
2026-06-02 11:15:06,new_output_model,deny,,0.74765,0.85,8.0,8190,119.707,71.325,45.211
2026-06-02 11:15:09,new_output_model,deny,,0.71915,0.85,8.0,8190,127.646,78.35,46.204
2026-06-02 11:15:12,new_output_model,deny,,0.78514,0.85,7.99,560,124.757,70.465,50.599
2026-06-02 11:15:15,new_output_model,deny,,0.80671,0.85,8.0,560,113.42,68.234,42.073
2026-06-02 11:15:18,new_output_model,deny,,0.84674,0.85,7.99,560,121.006,69.727,47.986
2026-06-02 11:15:21,new_output_model,ok,tra,0.87051,0.85,8.01,560,123.266,75.836,43.382
2026-06-02 11:15:24,new_output_model,deny,,0.80198,0.85,8.0,633,133.41,77.414,52.198
2026-06-02 11:15:27,new_output_model,ok,tra,0.86644,0.85,8.0,8190,115.556,73.255,39.22
2026-06-02 11:15:30,new_output_model,ok,tra,0.89256,0.85,7.99,8190,153.056,101.55,47.025
